country,HDI.1975,HDI.1976,HDI.1977,HDI.1978,HDI.1979,HDI.1980,HDI.1981,HDI.1982,HDI.1983,HDI.1984,HDI.1985,HDI.1986,HDI.1987,HDI.1988,HDI.1989,HDI.1990,HDI.1991,HDI.1992,HDI.1993,HDI.1994,HDI.1995,HDI.1996,HDI.1997,HDI.1998,HDI.1999,HDI.2000,HDI.2001,HDI.2002,HDI.2003,HDI.2004,HDI.2005,TFR.1975,TFR.1976,TFR.1977,TFR.1978,TFR.1979,TFR.1980,TFR.1981,TFR.1982,TFR.1983,TFR.1984,TFR.1985,TFR.1986,TFR.1987,TFR.1988,TFR.1989,TFR.1990,TFR.1991,TFR.1992,TFR.1993,TFR.1994,TFR.1995,TFR.1996,TFR.1997,TFR.1998,TFR.1999,TFR.2000,TFR.2001,TFR.2002,TFR.2003,TFR.2004,TFR.2005,aTFR.1975,aTFR.1976,aTFR.1977,aTFR.1978,aTFR.1979,aTFR.1980,aTFR.1981,aTFR.1982,aTFR.1983,aTFR.1984,aTFR.1985,aTFR.1986,aTFR.1987,aTFR.1988,aTFR.1989,aTFR.1990,aTFR.1991,aTFR.1992,aTFR.1993,aTFR.1994,aTFR.1995,aTFR.1996,aTFR.1997,aTFR.1998,aTFR.1999,aTFR.2000,aTFR.2001,aTFR.2002,aTFR.2003,aTFR.2004,aTFR.2005,dmeanage1.1975,dmeanage1.1976,dmeanage1.1977,dmeanage1.1978,dmeanage1.1979,dmeanage1.1980,dmeanage1.1981,dmeanage1.1982,dmeanage1.1983,dmeanage1.1984,dmeanage1.1985,dmeanage1.1986,dmeanage1.1987,dmeanage1.1988,dmeanage1.1989,dmeanage1.1990,dmeanage1.1991,dmeanage1.1992,dmeanage1.1993,dmeanage1.1994,dmeanage1.1995,dmeanage1.1996,dmeanage1.1997,dmeanage1.1998,dmeanage1.1999,dmeanage1.2000,dmeanage1.2001,dmeanage1.2002,dmeanage1.2003,dmeanage1.2004,dmeanage1.2005
Belize,0.646159734,0.644969023,0.647105514,0.651537112,0.65573526,0.66379228,0.664724675,0.664800713,0.663639317,0.664121005,0.664427362,0.666673278,0.672187859,0.675955691,0.682051827,0.686231453,0.691203045,0.697591016,0.700615506,0.700513537,0.700597772,0.701496906,0.702824315,0.703347939,0.707306864,0.712707542,0.713693687,0.71607987,0.720765375,0.725864764,0.726308913,6.2,6.2,6.2,6.04,5.88,5.72,5.56,5.4,5.26,5.12,4.98,4.84,4.7,4.6306,4.5612,4.4918,4.4224,4.353,4.2222,4.0914,3.9606,3.8298,3.699,3.5986,3.4982,3.3978,3.2974,3.197,3.1216,3.0462,2.9708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,0.338790582,0.337774288,0.338946694,0.339810674,0.343432423,0.347100553,0.352310071,0.353399852,0.350740798,0.35481207,0.358714926,0.359827315,0.358942118,0.360340567,0.358210403,0.359369479,0.361244712,0.364066559,0.367146687,0.370759298,0.374613201,0.379095641,0.383992557,0.388022805,0.392119045,0.396870466,0.403185166,0.408354601,0.412941896,0.417373267,0.420830806,7.103,7.103,7.103,7.1096,7.1162,7.1228,7.1294,7.136,7.0892,7.0424,6.9956,6.9488,6.902,6.8476,6.7932,6.7388,6.6844,6.63,6.5546,6.4792,6.4038,6.3284,6.253,6.1756,6.0982,6.0208,5.9434,5.866,5.7758,5.6856,5.5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.570293598,0.571454562,0.572813625,0.576896988,0.579951948,0.582197433,0.585399594,0.58624148,0.586546148,0.589031942,0.590674259,0.591790979,0.595700262,0.599076448,0.602911987,0.607185264,0.611778305,0.615696322,0.621878572,0.62828923,0.634731995,0.641036124,0.647682722,0.65422172,0.658282499,0.664681855,0.669468801,0.674007907,0.677164641,0.680091245,0.683092423,5.8,5.8,5.8,5.7,5.6,5.5,5.4,5.3,5.24,5.18,5.12,5.06,5,4.96,4.92,4.88,4.84,4.8,4.7048,4.6096,4.5144,4.4192,4.324,4.2192,4.1144,4.0096,3.9048,3.8,3.8,3.725,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.56242962,0.566162365,0.570574275,0.579796883,0.587948033,0.596024264,0.602638599,0.610828864,0.617915304,0.622730624,0.626860063,0.631584754,0.638238991,0.645507718,0.649754911,0.650853015,0.652347795,0.655102066,0.644840508,0.63557282,0.626797162,0.618700448,0.613065707,0.604259852,0.593908257,0.583942616,0.572478139,0.561281021,0.56426658,0.565316455,0.564641418,6.4,6.4,6.4,6.28,6.16,6.04,5.92,5.8,5.62,5.44,5.26,5.08,4.9,4.7358,4.5716,4.4074,4.2432,4.079,3.9862,3.8934,3.8006,3.7078,3.615,3.5328,3.4506,3.3684,3.2862,3.204,3.1466,3.0892,3.0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.676692147,0.680575164,0.681769048,0.6840842,0.688275463,0.693680782,0.691740934,0.692632783,0.69146813,0.695127932,0.700232112,0.70540634,0.708317397,0.709162822,0.71190496,0.710448752,0.712315539,0.718339596,0.727452282,0.736930669,0.745922817,0.753690854,0.762121604,0.76811118,0.774229965,0.77833482,0.781524277,0.785977422,0.785355936,0.792372363,0.794983931,4.305,4.305,4.305,4.204,4.103,4.002,3.901,3.8,3.66,3.52,3.38,3.24,3.1,3,2.9,2.8,2.7,2.6,2.57,2.54,2.51,2.48,2.45,2.429,2.408,2.387,2.366,2.345,2.325,2.305,2.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,0.7696912,0.774554513,0.77359463,0.77648976,0.778878262,0.778742359,0.783728531,0.785779242,0.791926457,0.791369206,0.78660609,0.781801584,0.77960037,0.780168873,0.782420974,0.785131245,0.780837401,0.776663784,0.784931865,0.790252506,0.795176182,0.798776411,0.801342339,0.807946412,0.814770662,0.819905618,2.23,2.24,2.2,2.15,2.15,2.05,2.01,2.02,2,1.99,1.95,1.99,1.96,1.97,1.9,1.81,1.65,1.54,1.45,1.37,1.23,1.24,1.09,1.11,1.23,1.3,1.24,1.21,1.23,1.29,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0,-0.03,-0.04,0.01,-0.02,-0.08,0.15,-0.19,0.02,0.02,0.01,0.06,0.03,-0.02,0.08,0.06,-0.11,-0.13,0.12,0.14,0.21,0.16,0.24,0.13,0.07,0.48,0.2,0.19,0.3,0.19,0.29
Burkina Faso,0.276085568,0.279488384,0.278564956,0.281819889,0.284562011,0.285718797,0.288729852,0.29447771,0.294493778,0.293242201,0.297445035,0.301540896,0.300263599,0.3001598,0.296990924,0.292474695,0.293470235,0.290197364,0.290376809,0.2886286,0.288848832,0.290410668,0.294165946,0.298135147,0.305106077,0.309170714,0.315555618,0.321171608,0.328877892,0.335753471,0.344216031,7.75,7.75,7.75,7.736,7.722,7.708,7.694,7.68,7.632,7.584,7.536,7.488,7.44,7.26,7.08,6.9,7.03,7.16,7.07,6.98,6.89,6.8,6.9,6.4,6.35,6.3,6.25,6.2,6.05,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0.339495684,0.34283081,0.347760306,0.347495598,0.348505908,0.349000151,0.355199869,0.354316461,0.354389374,0.352509105,0.356770689,0.356653931,0.357791375,0.353306623,0.346985986,0.342011762,0.342873915,0.341434127,0.341049098,0.342222498,0.341109603,0.340088421,0.342911705,0.351208476,0.356167526,0.361358122,0.363945462,0.368644489,0.370916639,0.376730951,0.379908486,6.801,6.801,6.801,6.8008,6.8006,6.8004,6.8002,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,0.499329957,0.503092441,0.505585096,0.507567768,0.509806391,0.511860523,0.520176069,0.529296527,0.539496511,0.551794036,0.562867587,0.57326517,0.580715605,4.7,4.7,4.7,5.08,5.46,5.84,6.22,6.6,6.43,6.26,6.09,5.92,5.75,5.67,5.59,5.51,5.43,5.35,5.18,5.01,4.84,4.67,4.5,4.428,4.356,4.284,4.212,4.14,4.0552,3.9704,3.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0.486903695,0.48216261,0.487688672,0.499676535,0.503873352,0.503736465,0.51351746,0.518586323,0.523199504,0.528108456,0.533285557,0.537758216,0.537357425,0.530186446,0.526544214,0.520451591,0.51573973,0.511035938,0.503611444,0.496636954,0.492930445,0.490187079,0.487549639,0.485385891,0.482919636,0.482586123,0.488907323,0.488148783,0.49117777,0.496608539,0.497710078,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.34,6.28,6.22,6.16,6.1,6.02,5.94,5.86,5.78,5.7,5.58,5.46,5.34,5.22,5.1,5.083333333,5.066666667,5.05,5.0333335,5.016667,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
